compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
255	P108127522	-236.522	-256.752	-253.388
256	P108134459	-261.67	-277.858	-279.745
257	P108134459	-294.82	-325.065	-329.471
258	P108134459	-294.777	-328.313	-337.349
259	P108141367	-301.549	-322.915	-324.643
260	P108141367	-309.051	-326.792	-325.923
261	P108141367	-299.873	-317.789	-322.609
262	P108142038	-269.593	-291.777	-291.142
263	P108142038	-269.021	-290.645	-290.423
264	P108142038	-267.487	-290.313	-289.784
265	P108142039	-288.979	-316.818	-310.798
266	P108142039	-288.514	-316.148	-310.354
267	P108142039	-301.186	-321.891	-317.825
268	P108190539	-157.909	-166.547	-167.453
269	P108190539	-154.728	-154.186	-155.658
270	P108190539	-154.296	-155.19	-156.04
271	P108190642	-210.605	-215.616	-209.341
272	P108190642	-243.376	-260.866	-252.921
273	P108190642	-241.996	-260.14	-252.17
274	P108190648	-239.447	-244.55	-248.853
275	P108190648	-253.136	-259.653	-264.195
276	P108190648	-254.729	-263.106	-267.239
277	P108190681	-238.473	-243.162	-244.0
278	P108190681	-225.026	-226.723	-234.567
279	P108190681	-222.09	-222.611	-230.766
280	P108221056	-324.855	-337.075	-348.284
281	P108221056	-325.342	-340.36	-349.932
282	P108221056	-329.951	-343.95	-349.167
283	P108231347	-216.818	-232.092	-228.982
284	P108231347	-167.551	-171.557	-177.094
285	P108231347	-204.167	-207.852	-205.345
286	P108243673	-178.106	-185.157	-184.55
287	P108243673	-174.971	-180.153	-181.368
288	P108243673	-179.604	-188.417	-188.253
289	P108252769	-144.81	-150.857	-152.911
290	P108252769	-147.758	-153.504	-156.382
291	P108252769	-144.89	-150.845	-152.879
292	P108311216	-248.305	-252.427	-253.134
293	P108311216	-285.192	-291.246	-294.203
294	P108311216	-248.348	-251.246	-251.896
295	P108902473	-216.64	-218.208	-216.722
296	P108902473	-214.136	-220.58	-224.656
297	P108902473	-176.894	-182.067	-177.124
298	P108909512	-309.981	-327.054	-323.503
299	P108909512	-281.453	-284.752	-286.63
300	P108909512	-305.69	-324.27	-321.076
301	P108909526	-267.284	-274.497	-274.329
302	P108909526	-247.619	-253.903	-257.052
303	P108909526	-274.238	-287.853	-287.714
304	P108937154	-192.624	-201.605	-203.079
305	P108937154	-168.227	-168.717	-165.903
306	P108937154	-191.339	-200.189	-201.966
307	P108937526	-221.649	-222.824	-220.972
308	P108937526	-224.159	-223.701	-222.74
309	P108937526	-223.242	-223.812	-223.003
310	P108944433	-121.301	-121.318	-123.822
311	P108944433	-155.301	-161.012	-160.096
312	P108944433	-125.611	-129.637	-133.664
313	P108996920	-283.871	-301.369	-303.831
314	P108996920	-284.465	-300.133	-303.017
315	P108996920	-291.321	-314.826	-313.734
316	P109008932	-270.141	-272.166	-281.744
317	P109008932	-290.685	-306.736	-314.096
318	P109008932	-271.893	-277.729	-283.672
319	P109013041	-172.762	-181.779	-181.181
320	P109013041	-236.369	-239.038	-247.313
321	P109013041	-229.603	-232.074	-243.892
322	P109015587	-259.233	-265.468	-270.861
323	P109015587	-258.643	-262.995	-269.038
324	P109015587	-252.298	-252.438	-261.441
325	P109047699	-192.368	-198.75	-196.795
326	P109047699	-192.767	-199.354	-196.628
327	P109047699	-208.064	-207.131	-208.693
328	P109438385	-276.011	-291.082	-289.555
329	P109438385	-277.306	-287.745	-288.164
330	P109438385	-253.43	-266.5	-267.632
331	P109438629	-252.181	-258.015	-257.669
332	P109438629	-251.07	-257.351	-257.557
333	P109438629	-250.298	-257.188	-256.906
334	P109438688	-168.213	-166.403	-166.7
335	P109438688	-173.072	-181.379	-177.141
336	P109438688	-189.997	-194.379	-195.353
