compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
330	P111068727	-334.801	-347.73	-351.017
331	P111132133	-289.551	-306.692	-309.438
332	P111132133	-265.505	-293.247	-287.835
333	P111132133	-280.772	-294.835	-293.242
334	P111191271	-243.457	-267.243	-267.686
335	P111191271	-264.828	-289.077	-290.976
336	P111191271	-273.482	-292.627	-292.645
337	P111197784	-211.488	-224.374	-219.302
338	P111197784	-208.5	-223.289	-220.393
339	P111197784	-207.38	-217.386	-220.907
340	P111218520	-185.527	-194.728	-198.898
341	P111218520	-184.54	-193.203	-198.857
342	P111218520	-208.919	-225.741	-222.12
343	P111236556	-431.521	-449.339	-457.099
344	P111236556	-420.696	-437.602	-444.601
345	P111236556	-382.959	-387.142	-397.391
346	P111304567	-252.533	-255.695	-255.602
347	P111304567	-245.704	-266.359	-259.281
348	P111304567	-258.992	-272.448	-266.938
349	P111315818	-103.229	-112.672	-117.559
350	P111315818	-103.564	-113.864	-115.251
351	P111315818	-121.073	-131.727	-135.701
352	P111458888	-251.777	-266.622	-272.81
353	P111458888	-256.323	-276.034	-278.022
354	P111458888	-255.584	-270.137	-279.875
355	P111529999	-196.632	-212.487	-211.901
356	P111529999	-224.911	-243.093	-240.111
357	P111529999	-191.997	-214.223	-212.393
358	P111530071	-233.297	-241.276	-241.335
359	P111530071	-222.624	-232.23	-239.975
360	P111530071	-231.549	-228.136	-238.32
361	P111682756	-217.407	-222.823	-225.083
362	P111682756	-223.582	-241.212	-236.434
363	P111682756	-206.403	-210.767	-210.302
364	P111693609	-255.721	-280.083	-278.313
365	P111693609	-261.01	-289.223	-286.625
366	P111693609	-253.544	-282.744	-279.651
367	P111697947	-260.575	-268.126	-271.096
368	P111697947	-259.71	-268.969	-272.268
369	P111697947	-257.743	-267.392	-270.062
370	P111717488	-280.014	-303.154	-302.348
371	P111717488	-284.696	-304.405	-306.049
372	P111717488	-239.828	-253.639	-249.868
373	P111770338	-283.053	-306.222	-301.541
374	P111770338	-255.545	-261.691	-265.604
375	P111770338	-283.086	-306.256	-302.609
376	P111892376	-211.293	-210.503	-218.55
377	P111892376	-215.385	-217.472	-222.253
378	P111892376	-201.979	-202.018	-208.517
379	P112023372	-269.089	-281.773	-289.314
380	P112023372	-269.646	-283.463	-287.044
381	P112023372	-261.587	-278.459	-275.588
382	P112024333	-317.448	-333.08	-336.141
383	P112024333	-331.479	-354.913	-362.587
384	P112024333	-309.749	-335.787	-339.888
385	P112062310	-186.591	-190.065	-191.62
386	P112062310	-193.803	-198.895	-202.286
387	P112062310	-220.174	-233.138	-231.796
388	P112066939	-223.852	-244.945	-243.409
389	P112066939	-211.866	-227.794	-221.351
390	P112066939	-214.812	-231.079	-223.7
391	P112365624	-133.761	-144.024	-148.874
392	P112365624	-139.529	-139.406	-150.059
393	P112365624	-130.25	-133.357	-135.608
394	P112387045	-233.475	-240.789	-245.097
395	P112387045	-231.338	-240.51	-245.741
396	P112387045	-246.957	-256.598	-252.948
397	P112541969	-263.36	-280.041	-282.437
398	P112541969	-266.22	-272.856	-283.034
399	P112541969	-262.927	-273.382	-274.685
400	P112599083	-263.131	-264.791	-267.925
