score,method,desc,type
0.7483772819472617,Random Forest,1UTS,one
0.6447261663286004,Random Forest,1UTS,one
0.7289634146341465,Random Forest,1UTS,one
0.6596348884381339,CatBoost,1UUD,one
0.9002028397565922,CatBoost,1UUD,one
0.7180894308943089,CatBoost,1UUD,one
0.786815415821501,CatBoost,1UUD,one
0.7632860040567951,CatBoost,1UUD,one
0.7878048780487804,CatBoost,1UUD,one
0.8162271805273833,CatBoost,1UUD,one
0.6606490872210953,CatBoost,1UUD,one
0.8284552845528456,CatBoost,1UUD,one
0.6809330628803245,CatBoost,1UUD,one
0.6257606490872212,CatBoost,1UUD,one
0.7867886178861789,CatBoost,1UUD,one
0.7626774847870182,CatBoost,1UUD,one
0.8150101419878297,CatBoost,1UUD,one
0.789430894308943,CatBoost,1UUD,one
0.6697768762677485,CatBoost,1UUD,one
0.8281947261663286,CatBoost,1UUD,one
0.7947154471544715,CatBoost,1UUD,one
0.6363083164300203,CatBoost,1UUD,one
0.7105476673427992,CatBoost,1UUD,one
0.7701219512195122,CatBoost,1UUD,one
0.7811359026369168,CatBoost,1UUD,one
0.8034482758620689,CatBoost,1UUD,one
0.7239837398373984,CatBoost,1UUD,one
0.8855983772819472,CatBoost,1UUD,one
0.7997971602434077,CatBoost,1UUD,one
0.6567073170731708,CatBoost,1UUD,one
0.5975659229208925,CatBoost,1UUD,one
0.8194726166328601,CatBoost,1UUD,one
0.8195121951219513,CatBoost,1UUD,one
0.636105476673428,kNN,1UUD,one
0.5771805273833672,kNN,1UUD,one
0.5776422764227642,kNN,1UUD,one
0.6386409736308317,kNN,1UUD,one
0.562474645030426,kNN,1UUD,one
0.6317073170731707,kNN,1UUD,one
0.6179513184584179,kNN,1UUD,one
0.5718052738336713,kNN,1UUD,one
0.5858739837398373,kNN,1UUD,one
0.577180527383367,kNN,1UUD,one
0.5780933062880325,kNN,1UUD,one
0.5786585365853658,kNN,1UUD,one
0.7329614604462474,kNN,1UUD,one
0.6792089249492901,kNN,1UUD,one
0.5170731707317073,kNN,1UUD,one
0.5764705882352942,kNN,1UUD,one
0.4847870182555781,kNN,1UUD,one
0.5324186991869919,kNN,1UUD,one
0.5831643002028397,kNN,1UUD,one
0.6772819472616634,kNN,1UUD,one
0.676219512195122,kNN,1UUD,one
0.6337728194726167,kNN,1UUD,one
0.6754563894523327,kNN,1UUD,one
0.6269308943089431,kNN,1UUD,one
0.626369168356998,kNN,1UUD,one
0.6829614604462474,kNN,1UUD,one
0.5817073170731707,kNN,1UUD,one
0.5705882352941177,kNN,1UUD,one
0.5764705882352941,kNN,1UUD,one
0.5734756097560975,kNN,1UUD,one
0.5325557809330629,Random Forest,1UUD,one
0.7065922920892496,Random Forest,1UUD,one
0.8050813008130082,Random Forest,1UUD,one
0.7440162271805273,Random Forest,1UUD,one
0.7413793103448276,Random Forest,1UUD,one
0.7501016260162602,Random Forest,1UUD,one
0.6501014198782962,Random Forest,1UUD,one
0.6876267748478702,Random Forest,1UUD,one
0.6837398373983741,Random Forest,1UUD,one
0.8045638945233264,Random Forest,1UUD,one
0.7612576064908722,Random Forest,1UUD,one
0.7340447154471545,Random Forest,1UUD,one
0.7382352941176471,Random Forest,1UUD,one
0.767444219066937,Random Forest,1UUD,one
0.7619918699186992,Random Forest,1UUD,one
