compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
3428	P56755113	-257.332	-251.743	-250.347
3429	P56755113	-265.094	-255.862	-255.805
3430	P56755114	-266.243	-282.224	-274.64
3431	P56755114	-270.359	-280.046	-276.346
3432	P56755114	-258.055	-267.446	-268.166
3433	P56760308	-285.555	-298.085	-296.136
3434	P56760308	-305.593	-308.208	-312.456
3435	P56760308	-296.577	-304.145	-304.308
3436	P56760365	-231.475	-228.3	-238.899
3437	P56760365	-231.488	-232.981	-234.461
3438	P56760365	-232.592	-228.029	-237.929
3439	P56765106	-222.291	-218.68	-223.41
3440	P56765106	-214.525	-210.88	-220.558
3441	P56765106	-218.517	-213.383	-219.578
3442	P56792145	-313.558	-330.144	-322.972
3443	P56792145	-281.84	-299.251	-291.724
3444	P56792145	-315.589	-336.805	-330.736
3445	P56919722	-137.244	-136.543	-135.235
3446	P56919722	-137.102	-136.858	-134.852
3447	P56919722	-140.722	-135.463	-135.179
3448	P56992824	-216.835	-222.109	-219.991
3449	P56992824	-217.143	-222.662	-220.959
3450	P56992824	-213.631	-218.133	-221.4
3451	P57208953	-185.4	-182.996	-192.002
3452	P57208953	-138.65	-138.216	-143.881
3453	P57208953	-186.203	-183.35	-193.266
3454	P57293182	-143.636	-148.382	-150.475
3455	P57293182	-150.662	-153.822	-158.174
3456	P57293182	-149.462	-155.347	-159.348
3457	P57364358	-174.174	-178.303	-179.538
3458	P57364358	-173.667	-176.969	-177.865
3459	P57364358	-160.625	-158.613	-164.28
3460	P57381129	-206.25	-202.958	-206.429
3461	P57381129	-199.196	-197.56	-204.48
3462	P57381129	-193.378	-189.892	-197.534
3463	P57437247	-195.254	-196.918	-200.115
3464	P57437247	-218.811	-229.021	-229.284
3465	P57437247	-185.749	-194.056	-190.802
3466	P57478784	-58.904	-58.284	-60.453
3467	P57478784	-58.482	-58.534	-60.761
3468	P57478784	-55.097	-67.164	-68.598
3469	P57545584	-203.96	-218.811	-221.32
3470	P57545584	-187.381	-182.883	-182.878
3471	P57545584	-188.945	-189.593	-183.975
3472	P57574321	-83.718	-90.6	-88.959
3473	P57574321	-84.105	-89.01	-90.17
3474	P57574321	-84.423	-89.125	-89.353
3475	P57737090	-184.578	-185.676	-184.022
3476	P57737090	-194.808	-196.411	-194.629
3477	P57737090	-183.794	-185.587	-181.72
3478	P57823603	-81.681	-90.295	-91.995
3479	P57823603	-138.927	-141.802	-151.061
3480	P57823603	-141.741	-144.368	-153.102
3481	P57924592	-166.855	-177.879	-176.18
3482	P57924592	-162.99	-174.922	-171.355
3483	P57924592	-170.773	-183.954	-182.329
3484	P57958675	-172.037	-178.242	-174.761
3485	P57958675	-169.014	-177.771	-173.27
3486	P57958675	-176.707	-182.692	-182.622
3487	P58342822	-185.731	-190.602	-192.733
3488	P58342822	-194.963	-202.876	-203.306
3489	P58342822	-191.025	-194.032	-193.437
3490	P58349287	-134.598	-131.854	-132.916
3491	P58349287	-136.508	-134.166	-136.246
3492	P58349287	-133.209	-131.346	-133.692
3493	P58404974	-80.87	-77.793	-78.765
3494	P58404974	-80.633	-78.27	-78.69
3495	P58404974	-82.693	-80.105	-80.086
3496	P58487204	-168.714	-166.467	-168.923
3497	P58487204	-170.523	-168.094	-169.698
3498	P58487204	-169.871	-167.656	-170.482
3499	P58551051	-196.256	-207.061	-205.917
3500	P58551051	-187.085	-196.299	-203.841
3501	P58551051	-199.793	-203.991	-198.761
3502	P58669273	-68.178	-66.398	-71.129
3503	P58669273	-58.352	-56.544	-57.984
3504	P58669273	-46.65	-50.058	-51.371
3505	P58674661	-178.881	-187.749	-184.177
3506	P58674661	-173.965	-188.022	-181.509
3507	P58674661	-169.774	-185.848	-176.192
3508	P58674662	-169.327	-177.434	-180.862
3509	P58674662	-177.533	-171.17	-173.596
3510	P58674662	-169.701	-177.904	-180.243
3511	P58727480	-233.58	-235.079	-234.15
3512	P58727480	-243.688	-233.408	-233.813
3513	P58727480	-209.702	-224.232	-219.987
3514	P58727484	-250.753	-257.068	-257.583
3515	P58727484	-225.258	-224.752	-230.664
3516	P58727484	-242.564	-246.203	-249.877
3517	P58727487	-240.362	-238.945	-243.039
3518	P58727487	-229.413	-231.291	-235.938
3519	P58727487	-231.269	-233.448	-230.433
3520	P58743031	-166.237	-181.819	-185.555
3521	P58743031	-142.597	-139.047	-142.393
3522	P58743031	-141.964	-139.356	-142.909
3523	P59081347	-193.599	-199.533	-192.74
3524	P59081347	-193.962	-201.433	-198.166
3525	P59081347	-195.595	-198.703	-192.719
3526	P59090064	-171.113	-172.385	-183.813
3527	P59090064	-174.126	-169.809	-184.002
3528	P59090064	-168.222	-171.32	-183.189
3529	P59116823	-172.587	-178.131	-177.001
3530	P59116823	-183.179	-187.107	-187.359
3531	P59116823	-183.503	-186.581	-188.488
3532	P59170296	-89.453	-89.555	-88.492
3533	P59170296	-89.26	-89.731	-88.75
3534	P59170296	-90.087	-89.074	-88.49
3535	P59179562	-92.924	-89.642	-91.284
3536	P59179562	-93.441	-96.388	-93.98
3537	P59179562	-91.796	-88.894	-89.883
3538	P59186968	-134.032	-133.518	-134.024
