compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
636	P133997385	-233.734	-252.555	-250.567
637	P134038159	-145.959	-150.984	-154.038
638	P134038159	-163.965	-166.32	-173.102
639	P134038159	-144.632	-149.397	-152.944
640	P134118939	-146.048	-158.722	-155.36
641	P134118939	-140.673	-160.198	-155.234
642	P134118939	-138.164	-157.824	-151.105
643	P134120876	-121.2	-120.211	-122.216
644	P134120876	-124.506	-122.953	-121.775
645	P134120876	-123.307	-123.443	-125.002
646	P134247326	-167.742	-167.084	-169.923
647	P134247326	-169.707	-169.363	-172.186
648	P134247326	-169.282	-165.845	-169.687
649	P134294437	-167.444	-174.494	-172.532
650	P134294437	-166.669	-170.048	-173.31
651	P134294437	-166.732	-181.532	-176.967
652	P134720856	-374.421	-389.046	-398.862
653	P134720856	-406.716	-441.571	-445.675
654	P134720856	-372.335	-385.891	-400.567
655	P13546879	-310.551	-325.376	-327.608
656	P13546879	-313.548	-326.133	-339.938
657	P13546879	-317.302	-339.19	-341.705
658	P13573144	-271.844	-274.93	-280.566
659	P13573144	-271.865	-283.246	-285.331
660	P13573144	-273.972	-282.045	-285.762
661	P136604582	-201.074	-214.935	-211.681
662	P136604582	-214.715	-224.4	-224.579
663	P136604582	-207.119	-206.664	-211.305
664	P136825623	-246.829	-249.397	-256.823
665	P136825623	-247.868	-249.208	-256.852
666	P136825623	-248.189	-257.951	-256.914
667	P136897171	-177.145	-187.065	-194.953
668	P136897171	-178.201	-184.654	-188.057
669	P136897171	-175.977	-188.223	-195.923
670	P137029384	3.613	-2.187	-0.718
671	P137029384	4.3	-1.353	-1.712
672	P137029384	3.41	-2.099	-2.142
673	P137029388	60.693	43.968	45.174
674	P137029388	59.398	40.552	43.163
675	P137029388	67.845	59.494	57.476
676	P137331635	-182.11	-184.47	-186.7
677	P137331635	-178.755	-184.233	-182.071
678	P137331635	-186.269	-193.612	-192.393
679	P13733608	-228.514	-241.093	-242.4
680	P13733608	-219.286	-226.802	-225.239
681	P13733608	-226.675	-238.148	-238.93
682	P137426983	-174.064	-183.712	-184.329
683	P137426983	-174.774	-184.058	-183.563
684	P137426983	-163.237	-166.56	-171.808
685	P137778425	-280.555	-286.226	-292.025
686	P137778425	-313.599	-324.179	-324.112
687	P137778425	-303.554	-312.262	-314.701
688	P137930428	-301.6	-317.765	-306.925
689	P137930428	-303.731	-316.128	-313.652
690	P137930428	-306.85	-315.414	-313.963
691	P138298723	-267.259	-279.004	-272.53
692	P138298723	-263.573	-278.066	-282.293
693	P138298723	-258.344	-268.631	-271.255
694	P138417463	-222.949	-230.831	-229.281
695	P138417463	-221.148	-231.719	-230.852
696	P138417463	-220.795	-232.094	-230.488
697	P138589499	-284.39	-290.45	-297.873
698	P138589499	-283.827	-290.105	-296.647
699	P138589499	-283.572	-300.162	-308.39
700	P13960996	-224.504	-225.259	-230.022
701	P13960996	-217.349	-222.774	-217.682
702	P13960996	-236.056	-254.552	-251.994
703	P139640089	-260.38	-268.565	-273.708
704	P139640089	-268.455	-280.622	-286.631
705	P139640089	-271.607	-275.655	-286.143
706	P13977539	-302.193	-304.913	-300.546
707	P13977539	-302.223	-320.981	-317.4
708	P13977539	-278.191	-286.537	-288.721
709	P139903979	-299.469	-320.661	-314.148
710	P139903979	-301.18	-321.297	-313.115
711	P139903979	-296.971	-313.118	-313.812
712	P139963816	-303.497	-327.215	-329.196
713	P139963816	-339.183	-361.185	-363.309
714	P139963816	-313.04	-342.256	-345.621
715	P14003223	-153.091	-162.859	-166.493
716	P14003223	-144.95	-161.938	-156.838
717	P14003223	-157.096	-159.432	-161.955
718	P140091493	-255.795	-264.36	-274.685
719	P140091493	-254.685	-268.818	-271.763
720	P140091493	-252.866	-263.139	-269.929
721	P140142901	-189.459	-199.125	-207.818
722	P140142901	-186.841	-196.095	-204.176
723	P140142901	-157.456	-163.896	-166.807
724	P140612614	-268.111	-275.451	-283.962
725	P140612614	-261.197	-276.099	-284.495
726	P140612614	-264.909	-276.145	-286.409
727	P140670807	-332.822	-348.321	-349.147
728	P140670807	-288.377	-294.637	-301.899
729	P140670807	-304.158	-318.522	-317.391
730	P140898709	-149.404	-157.151	-167.863
731	P140898709	-149.729	-156.209	-167.362
732	P140898709	-152.697	-157.695	-164.451
733	P140932705	-143.05	-153.482	-152.696
734	P140932705	-144.709	-156.742	-152.505
735	P140932705	-157.505	-163.935	-170.375
736	P14110114	-355.695	-374.558	-379.002
737	P14110114	-321.913	-334.005	-338.605
738	P14110114	-354.462	-376.275	-373.924
739	P141130204	-307.379	-325.838	-330.804
740	P141130204	-314.118	-326.913	-331.628
741	P141130204	-313.942	-325.93	-332.4
742	P141236738	-155.675	-150.934	-155.485
743	P141236738	-156.323	-150.551	-155.139
744	P141236738	-156.422	-150.853	-155.444
745	P141506005	-210.98	-219.007	-216.921
746	P141506005	-229.756	-240.178	-246.802
747	P141506005	-237.832	-245.469	-249.418
748	P141655139	-158.006	-158.144	-165.032
749	P141655139	-158.842	-158.939	-165.877
750	P141655139	-158.257	-159.573	-165.813
751	P141666173	-239.141	-245.06	-253.483
752	P141666173	-239.257	-244.998	-253.27
753	P141666173	-239.693	-245.974	-253.143
754	P141724237	-220.033	-218.875	-220.463
755	P141724237	-203.299	-208.478	-212.619
756	P141724237	-218.787	-214.825	-215.829
757	P141749863	-240.524	-266.557	-266.95
758	P141749863	-243.383	-265.655	-268.335
759	P141749863	-241.565	-267.865	-267.324
760	P14196163	-223.214	-227.138	-236.224
761	P14196163	-219.521	-222.653	-233.894
762	P14196163	-218.834	-224.75	-231.685
763	P143139121	-304.976	-310.642	-319.221
764	P143139121	-303.634	-308.254	-319.11
765	P143139121	-278.169	-298.786	-296.684
766	P143450539	-245.014	-252.59	-263.241
767	P143450539	-241.331	-254.67	-261.624
768	P143450539	-242.538	-252.288	-262.855
769	P143660596	-165.151	-164.861	-169.767
770	P143660596	-160.195	-168.945	-171.234
771	P143660596	-150.376	-158.188	-153.722
772	P143660598	-155.713	-158.659	-162.508
773	P143660598	-157.914	-162.218	-165.336
774	P143660598	-164.797	-166.366	-169.649
775	P143828851	-254.652	-270.678	-279.422
776	P143828851	-269.354	-293.074	-286.224
777	P143828851	-272.566	-293.131	-287.739
778	P143839170	-194.416	-209.174	-213.286
779	P143839170	-194.871	-209.259	-212.844
780	P143839170	-195.282	-207.076	-211.151
781	P14388679	-328.254	-338.838	-341.311
782	P14388679	-324.907	-341.733	-343.527
783	P14388679	-340.538	-356.76	-360.812
784	P143983296	-121.466	-121.935	-125.506
785	P143983296	-118.502	-125.561	-128.101
786	P143983296	-118.392	-126.325	-127.219
787	P143997125	-204.672	-212.588	-212.097
788	P143997125	-200.886	-210.258	-209.318
789	P143997125	-203.3	-214.148	-213.524
790	P144296713	-244.386	-253.466	-256.34
791	P144296713	-243.49	-252.946	-259.698
792	P144296713	-249.512	-254.236	-263.631
793	P144298758	-218.816	-230.426	-225.958
794	P144298758	-241.414	-246.055	-248.993
795	P144298758	-218.043	-221.23	-225.978
796	P144373135	-264.528	-269.398	-273.243
797	P144373135	-265.712	-266.715	-268.161
798	P144373135	-243.388	-250.632	-256.208
799	P144413889	-158.333	-166.656	-166.724
800	P144413889	-158.057	-169.352	-167.356
801	P144413889	-162.551	-170.868	-169.472
802	P144640514	-303.798	-320.545	-323.509
803	P144640514	-302.293	-318.411	-321.611
804	P144640514	-305.134	-318.047	-321.507
805	P144648301	-285.744	-300.713	-297.49
806	P144648301	-287.029	-303.648	-299.137
807	P144648301	-289.334	-302.293	-299.921
808	P144726317	-228.144	-235.929	-241.098
809	P144726317	-249.325	-259.544	-262.345
810	P144726317	-246.806	-258.32	-258.409
811	P14548439	-276.599	-286.084	-297.805
812	P14548439	-271.088	-286.709	-276.536
813	P14548439	-278.687	-287.995	-286.036
814	P146381833	-240.543	-261.23	-252.215
815	P146381833	-236.682	-245.067	-241.901
816	P146381833	-235.154	-259.142	-249.682
817	P146490563	-249.046	-266.86	-270.403
818	P146490563	-261.709	-277.97	-283.523
819	P146490563	-267.935	-279.368	-280.716
820	P146491311	-278.449	-298.229	-299.924
821	P146491311	-275.555	-290.448	-290.231
822	P146491311	-251.713	-256.218	-262.93
823	P146767908	-200.692	-206.611	-208.313
824	P146767908	-210.132	-225.208	-219.017
825	P146767908	-211.058	-224.917	-219.291
826	P147396773	-150.042	-156.951	-157.436
827	P147396773	-148.985	-157.535	-157.631
828	P147396773	-148.04	-156.291	-156.33
829	P14756067	-317.699	-326.507	-324.626
830	P14756067	-320.711	-335.466	-348.494
831	P14756067	-295.87	-319.498	-320.167
832	P147729103	-242.639	-258.104	-258.187
833	P147729103	-242.217	-258.242	-258.966
834	P147729103	-243.161	-259.558	-259.374
835	P147758647	-277.355	-292.464	-286.729
836	P147758647	-275.833	-293.807	-296.661
837	P147758647	-252.53	-264.855	-261.92
838	P147885005	-80.223	-93.272	-95.825
839	P147885005	-79.262	-91.126	-90.688
840	P147885005	-78.901	-90.638	-91.689
841	P147900213	-140.385	-142.519	-146.269
842	P147900213	-159.084	-165.847	-167.065
843	P147900213	-161.032	-166.911	-167.391
844	P147980059	-215.726	-242.221	-235.337
845	P147980059	-215.805	-242.566	-234.889
846	P147980059	-216.189	-244.172	-236.399
847	P148073160	-216.06	-229.926	-228.793
848	P148073160	-216.826	-232.496	-230.056
849	P148073160	-216.381	-231.195	-229.729
850	P148296872	-176.511	-188.823	-193.957
851	P148296872	-147.045	-168.622	-162.531
852	P148296872	-146.751	-166.007	-160.759
853	P14849118	-339.481	-350.22	-359.041
854	P14849118	-332.081	-346.613	-352.471
855	P14849118	-323.369	-340.293	-350.001
856	P148638781	-221.316	-240.277	-244.217
857	P148638781	-222.61	-241.732	-244.42
858	P148638781	-223.528	-241.575	-246.425
859	P148699289	-191.206	-209.869	-206.285
860	P148699289	-194.598	-208.167	-206.712
861	P148699289	-191.477	-209.088	-206.726
862	P148707363	-209.642	-225.89	-228.771
863	P148707363	-209.921	-225.075	-227.63
864	P148707363	-206.746	-219.281	-217.117
865	P148733337	-197.376	-209.979	-206.241
866	P148733337	-187.718	-190.567	-195.891
867	P148733337	-202.904	-220.481	-219.103
868	P148733383	-192.676	-202.875	-202.002
869	P148733383	-206.35	-218.74	-218.373
870	P148733383	-205.643	-217.901	-219.006
871	P148736240	-159.139	-162.976	-162.094
872	P148736240	-158.131	-162.038	-161.286
873	P148736240	-153.878	-161.555	-163.952
874	P148815316	-204.543	-217.318	-215.38
875	P148815316	-204.998	-214.939	-213.649
876	P148815316	-206.763	-219.927	-216.46
877	P14884440	-240.968	-258.438	-257.785
878	P14884440	-244.411	-268.468	-268.054
879	P14884440	-239.956	-259.507	-256.473
880	P14908872	-313.165	-327.462	-331.266
881	P14908872	-304.004	-313.555	-314.267
882	P14908872	-299.313	-305.955	-304.472
883	P149793905	-205.361	-219.872	-225.476
884	P149793905	-187.187	-195.864	-204.414
885	P149793905	-192.252	-200.438	-204.734
886	P149932754	-199.612	-210.787	-216.749
887	P149932754	-205.143	-218.964	-223.457
888	P149932754	-204.314	-214.143	-216.289
889	P149936514	-231.733	-248.837	-250.599
890	P149936514	-233.41	-256.3	-255.339
891	P149936514	-215.249	-231.014	-238.732
892	P149937070	-247.445	-254.905	-260.943
893	P149937070	-245.91	-254.354	-258.396
894	P149937070	-250.314	-258.803	-260.194
895	P149972242	-342.254	-364.653	-359.014
896	P149972242	-285.346	-315.227	-315.541
897	P149972242	-298.303	-325.526	-316.288
898	P149973030	-316.153	-326.374	-325.23
899	P149973030	-326.678	-339.547	-344.084
900	P149973030	-314.144	-326.155	-327.881
901	P149992110	-292.506	-297.14	-306.358
902	P149992110	-271.873	-287.778	-291.198
903	P149992110	-292.197	-295.765	-306.028
904	P149998929	-296.982	-314.439	-316.042
905	P149998929	-301.603	-324.166	-320.643
906	P149998929	-300.201	-323.227	-320.775
907	P150000115	-322.498	-334.348	-337.262
908	P150000115	-325.61	-346.04	-348.678
909	P150000115	-325.537	-344.064	-346.56
910	P150140587	-152.347	-165.655	-167.493
911	P150140587	-153.577	-164.223	-168.356
912	P150140587	-153.555	-163.33	-170.75
913	P150521794	-227.779	-243.868	-239.567
914	P150521794	-227.91	-244.213	-239.75
915	P150521794	-226.727	-241.536	-240.1
916	P151048377	-229.342	-242.719	-248.477
917	P151048377	-225.969	-236.817	-242.327
918	P151048377	-221.629	-235.405	-243.083
919	P151078739	-216.112	-218.52	-218.06
920	P151078739	-215.372	-216.197	-217.81
921	P151078739	-216.321	-217.068	-216.936
922	P151119401	-299.311	-308.839	-318.211
923	P151119401	-297.893	-307.475	-314.815
924	P151119401	-296.321	-306.39	-315.097
925	P151188753	-241.535	-255.755	-262.649
926	P151188753	-243.485	-253.752	-263.526
927	P151188753	-264.164	-274.162	-281.907
928	P151194933	-220.353	-221.844	-228.794
929	P151194933	-215.159	-214.085	-227.795
930	P151194933	-215.349	-218.601	-224.957
931	P151208785	-224.476	-250.752	-239.789
932	P151208785	-228.081	-252.018	-244.19
933	P151208785	-221.544	-246.954	-237.843
934	P151395209	-176.994	-182.27	-181.316
935	P151395209	-186.607	-190.629	-190.313
936	P151395209	-175.391	-181.908	-180.69
937	P151445450	-192.244	-204.204	-200.618
938	P151445450	-198.283	-210.889	-217.749
939	P151445450	-212.382	-225.02	-223.881
940	P151461693	-169.776	-187.018	-179.939
941	P151461693	-174.29	-186.709	-192.714
942	P151461693	-173.4	-183.067	-184.689
943	P15147884	-283.326	-299.966	-299.769
944	P15147884	-279.984	-301.66	-295.678
945	P15147884	-275.742	-298.726	-288.793
946	P151636690	-230.077	-241.735	-244.749
947	P151636690	-227.733	-239.913	-239.483
948	P151636690	-195.389	-207.72	-212.251
949	P151900710	-297.191	-310.334	-314.088
950	P151900710	-307.357	-327.641	-323.298
951	P151900710	-309.08	-326.784	-327.28
952	P152039333	-289.0	-314.8	-307.885
953	P152039333	-286.641	-316.02	-310.025
954	P152039333	-290.485	-317.064	-313.355
955	P152079614	-168.326	-177.547	-180.249
956	P152079614	-172.812	-186.141	-190.893
957	P152079614	-169.199	-186.697	-186.924
958	P152080532	-162.34	-186.943	-183.514
959	P152080532	-163.542	-187.875	-185.586
960	P152080532	-171.759	-185.804	-185.472
961	P152092583	-146.302	-154.283	-155.324
962	P152092583	-193.664	-216.078	-213.935
963	P152092583	-139.07	-156.448	-154.851
964	P152104988	-307.169	-318.249	-317.66
965	P152104988	-313.561	-324.813	-324.166
966	P152104988	-312.085	-323.841	-321.991
967	P152105112	-310.926	-328.821	-324.0
968	P152105112	-304.418	-319.742	-319.269
969	P152105112	-293.048	-304.949	-312.819
970	P15217181	-333.005	-357.329	-363.492
971	P15217181	-325.155	-342.722	-347.949
972	P15217181	-296.324	-315.955	-315.835
973	P152390852	-323.591	-331.627	-331.304
974	P152390852	-336.687	-349.201	-355.076
975	P152390852	-343.287	-355.366	-361.684
976	P152621814	-298.291	-312.224	-304.691
977	P152621814	-298.125	-301.324	-304.398
978	P152621814	-265.487	-281.825	-288.615
979	P152622822	-390.756	-406.76	-416.387
980	P152622822	-382.105	-391.275	-395.678
981	P152622822	-390.579	-406.436	-415.234
982	P152929801	-292.856	-308.16	-312.759
983	P152929801	-291.466	-298.854	-308.807
984	P152929801	-302.706	-314.947	-324.611
985	P15293223	-244.077	-255.695	-262.378
986	P15293223	-233.601	-249.488	-254.469
987	P15293223	-244.817	-254.875	-265.994
988	P153040081	-301.256	-323.17	-331.297
989	P153040081	-296.124	-308.039	-323.076
990	P153040081	-294.289	-307.069	-322.951
991	P153153632	-222.272	-241.826	-241.848
992	P153153632	-223.737	-240.884	-244.432
993	P153153632	-236.832	-255.214	-256.082
994	P153167839	-211.276	-225.578	-224.05
995	P153167839	-251.976	-255.042	-256.733
996	P153167839	-284.576	-299.485	-311.389
997	P153167840	-261.22	-278.228	-287.654
998	P153167840	-284.652	-295.151	-303.28
999	P153167840	-267.682	-282.271	-282.114
1000	P153209433	-227.245	-234.875	-245.326
1001	P153209433	-229.178	-232.11	-245.956
1002	P153209433	-205.147	-212.293	-215.141
1003	P15328728	-243.383	-252.399	-251.567
1004	P15328728	-272.373	-279.758	-278.444
1005	P15328728	-246.899	-247.862	-257.162
1006	P153418694	-242.315	-251.98	-257.461
1007	P153418694	-214.584	-218.952	-226.059
1008	P153418694	-227.959	-233.451	-245.889
1009	P153430379	-203.319	-212.313	-213.427
1010	P153430379	-197.274	-205.795	-208.945
1011	P153430379	-218.934	-223.939	-232.857
1012	P153510451	-315.562	-319.347	-330.019
1013	P153510451	-308.511	-321.652	-319.77
1014	P153510451	-316.249	-327.955	-332.346
1015	P153603605	-211.182	-226.012	-225.714
1016	P153603605	-212.261	-227.162	-226.249
1017	P153603605	-211.663	-227.696	-226.289
1018	P153647092	-282.862	-297.734	-304.789
1019	P153647092	-263.797	-278.943	-286.585
1020	P153647092	-285.817	-295.634	-306.052
1021	P154000568	-319.655	-336.778	-340.274
